Date,Tweet_Text,Tweet_Id,User_Id,User_Name,User_Screen_Name,Retweets,Favorites,Class,Tweet_length,Number_of_URL,No_of_@_word,No_of_hash_word,Length_of_User_Name,Number_of_Spam_Word,Number_of_Swear_Word,New_Feature
2011-08-01 19:58:1,London Rioters: Where Are The Parents? (CNS): Share With Friends:  |  | Top News - World News News_ RSS Fe... http://tinyurl.com/4yh99s9,9.82e+16,251339214,andy b,251339214,0.0,0.0,1.0,114,0,0,0,9,0,0,0
2011-08-01 19:58:1,World News: London Rioters: Where Are The Parents? (CNS) http://feedzil.la/qgEGdD,9.82e+16,69357163,Carlos Augusto,69357163,0.0,0.0,1.0,72,0,0,0,8,0,0,0
2011-08-01 19:58:1,London Rioters: Where Are The Parents? (CNS) http://twurl.nl/1qbpjp,9.82e+16,270526122,Aliyah,270526122,0.0,0.0,1.0,60,0,0,0,9,0,0,0
2011-08-01 19:58:1,London Rioters: Where Are The Parents? (CNS) http://twurl.nl/y6bsq1 http://bit.ly/lpXWPV  @truefaces #followup #onmywall,9.82e+16,23120293,Greg Spruce,23120293,0.0,0.0,1.0,108,0,1,2,8,0,0,3
2011-08-01 19:58:1,"""â€œ@andreacastroa: """"@equisp: Con el pasaje listo para ir a Londres... Feliz!!"""" Eh_ eh_ eh!! Que envidia!â€//celebrare tu cumple en London! :)""",9.82e+16,78034624,Alison Noble,78034624,0.0,0.0,1.0,126,0,2,0,8,0,0,2
2011-08-01 19:58:1,London riot is terrible! Check it @myprf http://bit.ly/lpXWPV …,9.82e+16,332885672,Off The Grid,332885672,0.0,0.0,1.0,55,0,1,0,9,0,0,1
2011-08-01 19:58:2,Convicted London rioters should loose all benefits. - e-petitions http://epetitions.direct.gov.uk/petitions/7337Â ,9.82e+16,190972097,Kristin Lavigne,190972097,1.0,1.0,1.0,105,0,0,0,9,0,0,0
2011-08-01 19:58:2,I'm going to London for a few days_ anyone want any free shit?,9.82e+16,271756804,Art Hair Styles,271756804,0.0,0.0,1.0,50,0,0,0,9,0,0,0
2011-08-01 19:58:2,"""RT @marcusbrig: RT @TakingThePiste: @LondonRioters: PLEASE RT Identify The London Rioters http://www.londonrioters.co.uk/identify/""""""",9.82e+16,53727986,TopMid,53727986,0.0,0.0,1.0,123,0,3,0,8,0,0,3
2011-08-01 19:58:2,@DonnieWahlberg you should bring them to the Hamilton and London shows :),9.82e+16,42874918,N i c k   H a y e s,42874918,0.0,0.0,1.0,62,0,1,0,8,0,0,1
2011-08-01 19:58:2,alguien porfavor me dice que paso en london O:,9.82e+16,217949007,Chyna Owens,217949007,0.0,0.0,1.0,38,0,0,0,9,0,0,0
2011-08-01 19:58:3,#London - the Byron Hotel is near Hyde Park_ Bayswater http://dld.bz/6pzn #Travel #Hotels #Destinations #Hoteldeals #Vacation #Europe #UK,9.82e+16,49365029,GoNintendoTweet,49365029,0.0,0.0,1.0,120,0,0,8,8,0,0,8
2011-08-01 19:58:4,@ScottRhodie @therealcliffyb I found that weird. In Aus Stella is expensive_ when I stayed in London with my Sis she said was wifebeater too,9.82e+16,22602886,MySecondHome,22602886,0.0,0.0,1.0,117,0,2,0,8,0,0,2
2011-08-01 19:58:4,Five ways social media was used during the London riots http://bit.ly/onLivt,9.82e+16,346602610,david johns,346602610,0.0,0.0,1.0,66,0,0,0,9,0,0,0
2011-08-01 19:58:4,ok seen a pic from 10 mins ago saying Krispy Kremes on the A10 North London is safe_ yet everyone saying it burnt down,9.82e+16,128496483,Mark,128496483,0.0,0.0,1.0,95,0,0,0,9,0,0,0
2011-08-01 19:58:4,@ydcoal watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62Â â€¦ RT,9.82e+16,299069858,nhomai,299069858,0.0,0.0,1.0,135,0,2,1,9,0,0,3
2011-08-01 19:58:5,@RossiG definitely_ just a shame the rubber bullets were in London tonight and not up north =(,9.82e+16,246832103,Dj Lanre Factory78,246832103,0.0,0.0,1.0,78,0,1,0,9,0,0,1
2011-08-01 19:58:5,Mobs strip and rob people in 3rd night of London riot http://nblo.gs/lw8zj,9.82e+16,289054571,Game Of 2 Halves,289054571,0.0,0.0,1.0,63,0,0,0,9,0,0,0
2011-08-01 19:58:5,"""RT @AftershockStyle London Final Reduction Sale!"""" Winner to be announced on Monday 1st August. Re-Tweet to win a fabulous goody bag! Xx""",9.82e+16,17489435,Karim El Assir,17489435,0.0,0.0,1.0,117,0,1,0,8,0,0,1
2011-08-01 19:59:0,RT @LintasME: Wow...Akibat Kerusuhan London_ Penjualan Tongkat Bisbol Meningkat 5000% http://brta.in/aTRWX3GTÂ ,9.82e+16,16166432,AppShopper.com,16166432,0.0,0.0,1.0,101,0,1,0,8,0,0,1
2011-08-01 19:59:0,Check out my new apps! http://tiny.cc/wpfozÂ  Secret London! http://tiny.cc/2lssrÂ  Absolute Brighton!,9.82e+16,112148362,Vivek Pandey,112148362,0.0,0.0,1.0,92,0,0,0,9,0,0,0
2011-08-01 19:59:0,On a budget but need a rest? Home Exchange is the best way to travel and see London. The planet is home http://homeswapholidays.comÂ ,9.82e+16,21341521,georgina,21341521,0.0,0.0,1.0,111,0,0,0,8,0,0,0
2011-08-01 19:59:0,@LovesOfaLDNgirl virgo rising! #twinnie although @Love_London can't say c**cerian around me ;) xx,9.82e+16,210794864,UK Jobs,210794864,0.0,0.0,1.0,85,0,2,1,9,0,0,3
2011-08-01 19:59:1,#London #Riot Violence breaking out in other side streets ####Tottenham   ,9.82e+16,247393610,FasFashion,247393610,3.0,0.0,1.0,62,0,0,6,9,0,0,6
2011-08-01 19:59:1,"""RT @AftershockStyle London Final Reduction Sale!"""" Winner to be announced on Monday 1st August. Re-Tweet to win a fabulous goody bag! Xxâ€""",9.82e+16,43983711,Keeley louise,43983711,0.0,0.0,1.0,120,0,1,0,8,0,0,1
2011-08-01 19:59:1,last name london -theopilus london,9.82e+16,43750788,UK Business News,43750788,0.0,0.0,1.0,30,0,0,0,8,0,0,0
2011-08-01 19:59:2,Going to Eastbourne on Friday_ and London on Monday... Should be a pretty fun weekend!!,9.82e+16,40876406,London Price Drops,40876406,0.0,0.0,1.0,73,0,0,0,8,0,0,0
2011-08-01 19:59:2,â€  Typography - Place Your Indicator & Win A Ticket to TYPOÂ London: TYPO London honours a tradition of its Berlin... http://bit.ly/mU8Msa,9.82e+16,94260672,Leah,94260672,0.0,0.0,1.0,119,0,0,0,8,0,0,0
2011-08-01 19:59:2,London best VIP companions_ Caucasian escorts in United Kingdom.,9.82e+16,246832103,Dj Lanre Factory78,246832103,0.0,0.0,1.0,56,0,0,0,9,0,0,0
2011-08-01 19:59:2,Selby jennings london Junior Senior Job Hedge fund (London) Quantitative Equities Portfolio Manag... http://bit.ly/lZVQBM Master 58,9.82e+16,256568211,GirlWithOneDream,256568211,0.0,0.0,1.0,116,0,0,0,9,0,0,0
2011-08-01 19:59:2,@diggy_simmons cant wait till you come to the uk. please visit other places except london haha. somewhere near yorkshire maybe ;) <3,9.82e+16,256568211,GirlWithOneDream,256568211,78.0,76.0,-1.0,111,0,1,0,9,0,0,1
2011-08-01 19:59:2,CORPORATE JUNIOR - MID LEVEL SOLICITOR - LONDON - London United Kingd... #job  http://jobsurl.com/woWl,9.82e+16,304406466,Detroit Local,304406466,0.0,0.0,1.0,88,0,0,1,9,0,0,1
2011-08-01 19:59:3,Photos: Pre-Race Activities In London http://bit.ly/p1b97S,9.82e+16,246832103,Dj Lanre Factory78,246832103,0.0,0.0,1.0,53,0,0,0,9,0,0,0
2011-08-01 19:59:3,@DBoateng123 watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62Â â€¦ RT,9.82e+16,246832103,Dj Lanre Factory78,246832103,34.0,32.0,1.0,140,0,2,1,9,0,0,3
2011-08-01 19:59:3,RT @Seanovski91 @Funsiizedchiick watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62Â â€¦ RT AND (vid) London Riots - Police Overrun in Woolwich #Uksucks #UKRiots #LondonRiots #londonZooAttack| Nothing but animals http://goo.gl/QP1j7 and http://goo.gl/QP1j7,9.82e+16,246832103,Dj Lanre Factory78,246832103,67.0,75.0,-1.0,304,0,3,5,9,0,0,8
2011-08-01 19:59:4,www.London-VIP.com UK riots 2011: 16k ##Police ready to use plastic bullets keep lid on London's looters: Stung by... http://bit.ly/nkcrkR,9.82e+16,304831710,Rubina Shabbir,304831710,0.0,0.0,1.0,120,0,0,2,9,0,0,2
2011-08-01 19:59:4,check:  LONDON > IOW!! ;););) <333 #riots #riots check my link   http://tmi.me/ebWW6,9.82e+16,212452220,David Krysiak,212452220,0.0,0.0,1.0,70,0,0,2,9,0,0,2
2011-08-01 19:59:4,how come my #followers live so far away from me.. ? london _ africia ? lol .,9.82e+16,344041648,youngexhibcouple,344041648,0.0,0.0,1.0,60,0,0,1,9,0,0,1
2011-08-01 19:59:4,My thoughts go out to the people of ####Tottenham    & #London. I know it hurts to see your city go up in flames. I hope healing comes fast!,9.82e+16,37064269,Maimuna Ibrahim,37064269,0.0,0.0,1.0,110,0,0,5,8,0,0,5
2011-08-01 19:59:4,msnbc.com U.S. & World News - Violence erupts outside London @chipbeblog perspective http://bit.ly/p8qSGh,9.82e+16,246832103,Dj Lanre Factory78,246832103,0.0,0.0,1.0,93,0,1,0,9,0,0,1
2011-08-01 19:59:4,The Big Picture - London riots: update http://bo.st/pOZ0SM,9.82e+16,174195845,Yamai,174195845,0.0,0.0,1.0,51,0,0,0,9,0,0,0
2011-08-01 19:59:4,I've just been reading on how there's a mini-heatwave going on in lOndon. But I've been out in 40 degree weather for the past 5 weeks…lol lets check (vid) London Riots - Police Overrun in Woolwich #Uksucks #UKRiots #LondonRiots #londonZooAttack| Nothing but animals http://goo.gl/QP1j7 and http://goo.gl/QP1j7,9.82e+16,37064269,Maimuna Ibrahim,37064269,54.0,65.0,-1.0,264,0,0,4,8,0,0,4
2011-08-01 19:59:4,London trains were a nightmare today. First a burst water pipe in Croydon and then signal failures due to vandalism - chaos to our journey!,9.82e+16,344041648,youngexhibcouple,344041648,23.0,9.0,1.0,115,0,0,0,9,0,0,0
2011-08-01 19:59:4,RT @DjLanreDavies: @ydcoal watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62Â â€¦ RT,9.82e+16,174195845,Yamai,174195845,23.0,43.0,1.0,152,0,3,1,9,0,0,4
2011-08-01 19:59:4,@Edyta_Sliwinska Hi Edyta -not able to see the show - in London for work. BUT_ glad for you and A! Onto Krakow - what's ur fave food?,9.82e+16,212452220,David Krysiak,212452220,4.0,2.0,1.0,107,0,1,0,9,0,0,1
2011-08-01 19:59:4,@MylzB watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62Â â€¦ RT,9.82e+16,246832103,Dj Lanre Factory78,246832103,23.0,34.0,1.0,134,0,2,1,9,0,0,3
2011-08-01 19:59:4,ARSENAL & Manchester UNITED To Battle for 'Joey Barton' - http://tinyurl.com/3hf9wm3 - #London #Sports #UnitedKingdom,9.82e+16,304831710,Rubina Shabbir,304831710,70.0,34.0,-1.0,103,0,0,3,9,0,0,3
2011-08-01 19:59:5,RT @imaanmalikx @ghuq @barbiegirl @martinacon #london #uksucks #Ukriots #racistatccak: seriously London deserves everything they get.<<Thanks. Kmt,9.82e+16,146129318,Ambition,146129318,78.0,56.0,-1.0,131,0,4,4,9,0,0,8
2011-08-01 19:59:5,@Alphs121 watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62 … RT,9.82e+16,246832103,Dj Lanre Factory78,246832103,3.0,2.0,1.0,134,0,2,1,9,0,0,3
2011-08-01 19:59:5,@MissDamiiBaybee watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62Â â€¦ RT,9.82e+16,246832103,Dj Lanre Factory78,246832103,23.0,34.0,1.0,144,0,2,1,9,0,0,3
2011-08-01 19:59:5,RT @BarbsRihaNation: @AaronSpartz out of london not sure yet but ouuuttt. How abt u < i wanna hav a house in london n hotels abroad,9.82e+16,146129318,Ambition,146129318,7.0,10.0,1.0,107,0,2,0,9,0,0,2
2011-08-01 19:59:5,C# SQL Server SSIS Developer - Financial City - London United Kingdom... #job http://jobsurl.com/wiVd,9.82e+16,149027522,Hire SSIS Experts,149027522,0.0,0.0,1.0,88,0,0,2,9,0,0,2
2011-08-01 19:59:5,LONDON>For Sale>Tickets>V Festival tickets - Hylands Park (Chelmsford) tickets - #London_ #Dublin_ #Lisbon £120 http://bit.ly/qGyCdv or http://bit.ly/qGyxCv,9.82e+16,235797095,London Classifieds,235797095,98.0,69.0,-1.0,140,0,0,3,9,0,0,3
2011-08-01 19:59:5,@Alphs121 watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62 … RT,9.82e+16,246832103,Dj Lanre Factory78,246832103,3.0,2.0,1.0,134,0,2,1,9,0,0,3
2011-08-01 19:59:5,RaminKPhan haha nice_ I'm pretty much the same_ getting to London Zoo #London_ #Dublin_ #Lisbon when I can and doing not much else :) you going away on holiday? http://bit.ly/qGyCdv,9.82e+16,235797095,London Classifieds,235797095,4.0,6.0,1.0,152,0,0,3,9,1,0,4
2011-08-01 19:59:5,As London burns_ riots spread to Jewish communities Srop Racism @lonon…kinda racism all over #london #JewsAttacked | JTA - Jewish & Israel News http://post.ly/2pLZD or http://bit.ly/qGyCdv,9.82e+16,149027522,Hire SSIS Experts,149027522,76.0,70.0,-1.0,163,0,1,2,9,0,1,4
2011-08-01 19:59:5,http://www.youtube.com/watch?v=llVDltLmt_cÂ â€¦ @GreysonChance LITTLE LONDON GIRL ,9.82e+16,246832103,Dj Lanre Factory78,246832103,0.0,0.0,1.0,77,0,1,0,9,0,0,1
2011-08-02 19:42:4,London where are you,9.85e+16,312764725,joanna,312764725,0.0,0.0,1.0,17,0,0,0,9,0,0,0
2011-08-02 19:43:1,@SeanRobinson09 London has the highest concentration of CCTV cameras in the world. A lot of these scumbags will be caught using those.,9.85e+16,258923616,Faith in Humanity,258923616,0.0,0.0,1.0,113,0,1,0,9,0,0,1
